gene	log2(fold_change)	p_value
Cryab	-0.0704049	0.70425
Pld3	-0.0664887	0.70425
Ada	-0.142428	0.70435
Apopt1	0.0854632	0.70435
Eif3g	0.0674364	0.7044
1700012D01Rik	-0.228762	0.70445
Gpr63	-0.160072	0.70455
Pdlim5	-0.0714937	0.7046
Tsku	0.0969404	0.70475
Ankrd37	-0.106374	0.7048
D030028A08Rik	-0.179747	0.7048
Gm3414	0.154386	0.7048
Ptpn23	0.0670701	0.7048
Slc39a13	-0.0684834	0.7048
Polr2k	0.0868546	0.70485
Txnl4a	0.0702441	0.7049
Rpp21	0.105569	0.70505
Leprotl1	-0.0690476	0.70515
Tomm22	0.068472	0.7052
Ddx59	0.108253	0.70525
Ttll1	-0.0962073	0.70525
Purg	0.11834	0.7053
1700105P06Rik	-1.20418	0.70545
Smyd3	0.100105	0.70545
Ddb1	0.0721391	0.70555
Brpf1	0.0736435	0.7056
Cdk7	0.069081	0.70565
9430023L20Rik	0.0832301	0.7059
Dnajc19	0.190238	0.70595
Trmt6	0.0732191	0.70595
Gm10012	-1.17618	0.706
Tmem107	0.143178	0.706
Cetn3	-0.0715075	0.7062
Fbxo7	-0.0848161	0.7063
Samd4b	-0.0657808	0.7063
Mapk9	-0.0690296	0.7064
Naa38	0.0774122	0.7064
Tmem59l	0.181371	0.7064
2610204G22Rik	0.265129	0.70645
Ccs	-0.0727315	0.70645
Vamp8	-0.0725938	0.70645
Id2	-0.0773678	0.7065
Ufsp2	0.0733779	0.7065
Ino80e	0.0835093	0.70655
Ilkap	0.0708979	0.70665
Zfp809	0.0868067	0.70665
Gm3002	0.10236	0.7068
Htt	-0.0687486	0.7068
Spata6	-0.0819748	0.7068
Btbd2	0.0729807	0.70695
Kctd7	0.10209	0.70705
Pvrl4	0.193295	0.7071
Eif2ak4	0.0701813	0.70715
Gng5	0.0649785	0.70715
Prkag1	0.0702752	0.70715
Pcnxl4	0.0819517	0.7072
Abhd12	-0.0679156	0.70725
Fgf2	-0.0829321	0.7074
Dennd5a	-0.0655803	0.70745
Foxj3	0.0706387	0.70745
Tmub1	-0.10781	0.7075
Cbr4	-0.09804	0.7076
Zhx2	-0.0862606	0.7076
Ap5z1	-0.0839636	0.70765
Fam160b1	-0.0663477	0.7077
Fes	0.0869443	0.70775
Rnf149	-0.0705362	0.70785
Dolk	0.0853589	0.7079
Slc30a5	0.0678487	0.70795
Zbtb42	-0.116652	0.70795
Gdpgp1	0.116637	0.70805
Pop7	-0.0950287	0.7081
Notch3	-0.0828469	0.70815
Arl8a	0.0672346	0.70825
Coq3	-0.0835418	0.7083
Prkacb	0.0647362	0.7083
Bloc1s1	-0.0722822	0.70835
Pid1	0.0842351	0.70835
Hs3st5	-0.136063	0.70845
Ebf4	-0.091442	0.7085
Tstd3	-0.0913203	0.7086
Hoxb3	-0.0836287	0.70865
Nsd1	0.066725	0.70865
Nsf	-0.069009	0.70865
Polg	-0.0687782	0.70865
Rft1	-0.0803219	0.70865
Insl6	0.165932	0.7087
Unc13a	-0.103629	0.70875
Enox1	-0.182156	0.70885
Mob1b	-0.0735093	0.70895
Prdx2	0.0663602	0.7091
Gan	-0.115893	0.7092
Med14	0.0671149	0.70925
Pggt1b	0.0786199	0.70925
Tra2a	-0.0671394	0.70925
Sfmbt2	0.161778	0.70965
Tchp	0.0967168	0.70965
Ankrd49	-0.0947341	0.7097
Smarcd1	0.0717172	0.7097
Tmem134	-0.0695286	0.7097
Trim3	-0.0669036	0.7097
Dcdc2c	0.163235	0.7098
Ddx56	0.0710219	0.70985
Micall1	-0.0728384	0.70985
Zdhhc12	-0.0920205	0.70985
Maf1	-0.0704909	0.71005
Grb14	-0.0808139	0.7101
Elmsan1	0.0725232	0.71015
Rslcan18	-0.195287	0.7102
Cdk12	0.0703568	0.7103
Pdzd4	-0.0986395	0.7103
2310045N01Rik	-0.0896457	0.71035
Tbcel	-0.0700231	0.71035
Zmiz1	0.0649321	0.71035
Rps19	0.0694009	0.7104
C8g	-0.563884	0.71045
Rrnad1	0.105205	0.71045
Lrp1	-0.072951	0.71055
Tmem120a	0.0782871	0.71065
Abcc3	-0.0813763	0.7108
Pacrgl	-0.0988504	0.7108
Ddx51	0.0754698	0.71095
Nfkbib	-0.0853595	0.71095
Tmem173	-0.0759652	0.71095
Ogfrl1	-0.0878337	0.71115
Opa1	0.065615	0.71115
Ppat	0.170433	0.71115
Fgd1	0.10629	0.71145
Gipc1	0.0689649	0.71145
Vgll4	0.0816384	0.71145
Prr3	0.096757	0.71155
Sap30bp	-0.0723446	0.7116
Trim26	0.0690295	0.7116
Preb	-0.0665614	0.71175
Fhdc1	0.0864498	0.7118
Ppp1r12c	-0.0658155	0.71185
Afap1	-0.0646161	0.7119
Sys1	0.0816564	0.71195
Atf7	0.0871268	0.712
Dstyk	0.0662358	0.712
Gna12	0.0677643	0.712
Ddt	-0.0813058	0.71215
Gm15417	0.337686	0.71215
Itprip	0.0673794	0.7122
Ublcp1	-0.0672409	0.7123
Atg14	0.0856114	0.71235
Klhl26	-0.0702706	0.7125
Pafah1b3	-0.0777812	0.71255
Mrpl42	0.077572	0.7126
Tug1	0.0658738	0.71265
Mterfd2	0.0938008	0.7127
Plekhg2	-0.0643377	0.71285
Hoxa6	0.373063	0.71295
Rell2	-0.626003	0.713
Rps23	0.0654512	0.71305
Dhrs4	-0.0811037	0.7131
Zfp235	-0.1107	0.71315
Emilin1	0.0640917	0.7132
Camk2n2	-0.249102	0.71325
Ifi27l1	-0.0697046	0.71325
Mfsd8	-0.0913936	0.71325
Trim27	-0.0692303	0.71325
Sprr1a	-0.0658056	0.7134
Rab40c	0.075783	0.71345
Tmem106b	-0.0640569	0.71345
Gm14327	-0.193088	0.71355
Zfp458	-0.147886	0.71355
Dbr1	0.0799004	0.7137
C1rb	-0.163742	0.71405
Eid1	-0.0663585	0.7142
Elovl1	0.0847851	0.71425
Ndufb4	0.0686852	0.71445
Zdhhc2	-0.0897821	0.71445
Hivep1	-0.0680549	0.71455
Tarbp2	0.076334	0.71455
Bri3	0.123857	0.7147
C1galt1c1	-0.0822635	0.7147
Shkbp1	0.0745506	0.7147
Zfp286	0.119922	0.7147
E130311K13Rik	-0.0971488	0.71475
Rrbp1	0.0654037	0.71495
Dpm1	-0.0706716	0.71505
Mdh2	0.0630106	0.71505
Gmds	0.0807971	0.71515
Rgmb	-0.08233	0.71515
Tbck	0.0991152	0.7152
Tfip11	0.0738983	0.7152
Nsmce4a	0.0774753	0.7153
Rps27	0.770244	0.7153
Trmt61b	-0.151592	0.71535
Capn5	-0.0778777	0.7154
Dgkz	0.0716476	0.71545
Bin3	0.11357	0.7155
Fbxw9	0.0742309	0.71555
Zfp438	-0.130659	0.71555
Rab21	-0.0651975	0.7156
Lrrc20	0.0901285	0.7157
Klf6	0.0639322	0.71575
Mtpap	0.071154	0.7158
Ttc8	0.0844846	0.7158
Zfp653	-0.146264	0.71585
Ereg	0.0760359	0.7159
Ptpn1	0.063889	0.7159
Usp31	0.0710043	0.7159
Srek1	0.0675636	0.716
Dpm3	0.0878581	0.71615
Trdmt1	0.113757	0.71615
Stat3	-0.0647866	0.71635
Trmt13	0.115338	0.7164
Med25	-0.0679401	0.71665
Gm12942	0.144014	0.7167
Tbc1d22a	-0.0696244	0.7167
Stx16	-0.0707431	0.71675
Ano6	-0.0612197	0.7168
Tle6	0.12198	0.71685
Cactin	0.0683071	0.7169
Gabpa	0.0946374	0.7169
Mrpl47	0.0875625	0.71695
Slc39a14	0.0739823	0.71695
Wdr25	0.125623	0.71695
Plekha4	-0.118014	0.7172
Elavl1	0.0657424	0.7173
2310061J03Rik	-0.368905	0.71735
A330009N23Rik	0.404034	0.71735
Cd38	-0.136364	0.7174
Sptbn1	0.0636083	0.7174
Stx1a	-0.0938512	0.7175
Mrps16	0.0759943	0.71755
Prrt1	0.270874	0.71755
Txndc9	0.0640751	0.7178
Erc1	0.0685566	0.71785
Camk2g	0.0644959	0.7179
E4f1	0.0896397	0.7179
Gm9054	-0.299064	0.71795
Ccng2	0.0666688	0.718
Mast4	0.0692616	0.718
Fam129c	-0.121361	0.71805
Emx2	0.0648613	0.7182
Kctd11	-0.0708484	0.71825
Prcp	0.0738136	0.71825
Vasn	0.0711038	0.71825
Wdr92	-0.0733918	0.71825
Derl3	-0.173953	0.71835
Rpl23	0.0656784	0.71845
Tgfbr3	0.0636774	0.71845
Abhd2	-0.0699764	0.7186
Zfp120	0.0925536	0.71865
Capn10	0.0854955	0.7187
Acrbp	0.156591	0.71885
5830417I10Rik	0.089015	0.7189
Hmga2-ps1	0.135381	0.7189
Ppapdc1b	-0.0697592	0.71905
Snx15	-0.0853754	0.71905
Plekhb2	-0.0632464	0.71915
Ydjc	0.102518	0.71915
Dyrk2	-0.064512	0.7192
Gngt2	-0.502031	0.7192
Pitpnm2	0.0661997	0.7192
Sipa1l2	0.0620474	0.71925
Ank1	-0.129625	0.7194
Gm15413	-0.361151	0.71945
Mecr	0.0904976	0.7195
Heatr6	-0.0730839	0.7196
Pikfyve	0.0698177	0.71965
Hspg2	0.0657849	0.7197
Cdyl2	0.0957292	0.71975
Tvp23b	-0.0663241	0.7198
Alpk1	-0.0940757	0.71995
Kbtbd4	0.0805284	0.71995
Hsdl2	-0.0784094	0.72
Vps53	-0.0704109	0.72
Eif3m	0.0621208	0.72005
Itgb1bp1	0.09619	0.72015
Ubr4	0.0631285	0.72025
Rheb	-0.0639724	0.72035
Luc7l3	-0.0638628	0.7204
Clmp	0.0714291	0.7206
Mrps6	0.0869586	0.72065
Samd4	-0.0623224	0.72065
Zfp943	0.0970494	0.72065
Tmem126b	-0.0885388	0.7207
Ubox5	-0.108246	0.7207
Xab2	0.0685976	0.7207
A230056P14Rik	-0.354605	0.72075
Cyb5b	-0.062219	0.72075
Abcf2	0.0633214	0.7208
Thtpa	0.0852965	0.7208
Cdk2ap2	-0.0732985	0.72085
Gmpr2	0.0766795	0.7209
Ndufs7	0.069198	0.72095
Pex11a	-0.136523	0.721
Gm5113	-0.131587	0.7211
Arl6ip5	-0.0621917	0.72115
Mfsd12	-0.116943	0.72115
Zfp428	0.103797	0.72125
Foxp1	-0.0656518	0.72135
Hist1h3c	0.306189	0.72145
2810008D09Rik	-0.102836	0.72155
S100a7a	-0.175725	0.7217
Nnat	-0.31683	0.72175
Thra	0.066965	0.72175
Ldhd	0.1812	0.7219
Sf3a1	0.0638372	0.7219
Unk	0.076597	0.7219
Lyz1	-0.201895	0.72195
Senp6	0.0627004	0.72195
Abtb1	-0.08805	0.722
Hdac3	0.065806	0.722
Neil2	0.145227	0.722
Rnf32	-0.220866	0.72205
Ahsa1	0.0630293	0.72215
Mgat2	-0.0641145	0.7222
Mrpl44	0.0814485	0.72235
Sbf1	-0.0632166	0.72235
Emc8	0.0684761	0.7224
Bmp4	0.110659	0.7225
Sephs2	0.0681922	0.7225
Ubxn11	0.161252	0.7225
Col4a2	0.0687143	0.72265
Ythdc2	-0.0803386	0.7228
AU022252	0.0968264	0.72285
Minpp1	-0.065028	0.72285
4632415L05Rik	0.107289	0.72295
Zfp30	0.108827	0.7231
Arl6	0.0900196	0.72315
Itga10	0.135622	0.72315
Taf1b	0.0794171	0.72315
Trappc12	-0.0677577	0.72315
Dyrk1b	-0.0853559	0.72325
Vps37a	-0.0908119	0.72335
Gm6225	-0.538088	0.72345
Pcdhb17	-0.398746	0.72345
Magi3	0.0781185	0.7236
Ube2e1	0.0671815	0.72385
Enpp5	0.0730776	0.7239
Fam160a1	-0.0695437	0.7239
Ercc6l2	-0.069354	0.724
Plxnb2	-0.062279	0.7241
Stx3	-0.0760666	0.7242
Aarsd1	-0.0794584	0.72425
Dnajc14	0.0706244	0.72425
Sos2	-0.0725831	0.72425
Nop10	0.070532	0.72435
Rnf24	0.0838625	0.7244
Nme7	0.11921	0.72445
Shroom1	0.0791623	0.72445
Crk	-0.0609341	0.7245
Syngr2	-0.065155	0.72455
Ghitm	0.0630738	0.7246
Acsl1	-0.0783908	0.72475
Ccl25	0.169173	0.7248
Ttf2	0.0717506	0.72485
Amotl1	0.0608948	0.7249
Mrpl4	0.0682734	0.7249
Rgs3	-0.0618783	0.7249
Ubap2	0.063581	0.7249
Armc5	-0.0733625	0.7251
Srxn1	0.06207	0.7251
Fam58b	-0.085431	0.7252
Pim2	-0.12597	0.7252
Tox	-0.113777	0.7252
Zc3h3	-0.0770959	0.7252
Dnajc24	0.101615	0.72525
Gab3	-0.194925	0.7253
Jdp2	-0.0640168	0.7255
Vangl1	0.0761073	0.7256
AI316807	-0.184728	0.72565
Prkrip1	0.0771446	0.72575
Cs	0.0613267	0.7259
Gm9705	0.170159	0.7259
1700052N19Rik	0.0796149	0.7261
Tulp3	0.0630753	0.7261
Snx10	-0.0685664	0.7264
Akna	0.0929716	0.72645
Cd1d1	-0.0725761	0.72645
Sertad4	-0.0651246	0.72645
Prkab2	-0.0620219	0.7266
Aes	-0.0605625	0.72665
Eefsec	-0.0858525	0.72665
Tspan18	-0.163711	0.7267
Angel1	-0.135242	0.7269
Rnf169	-0.0704773	0.7269
Senp8	-0.108766	0.7269
Zfp316	-0.0801482	0.7269
Gab1	-0.0724351	0.72705
Kank2	-0.0630602	0.72715
Rgl2	-0.0681237	0.72715
Rnmt	0.0657739	0.72715
Fzd1	-0.0630562	0.7272
Abracl	0.0648083	0.7273
Rab9	0.0686277	0.7273
Gorab	0.0772376	0.72735
Bcas3	-0.0749558	0.7275
Garem	-0.0630115	0.7275
Mt3	0.207579	0.7275
Il20rb	-0.179877	0.72765
Josd1	0.0627363	0.7278
Cdk18	0.0700783	0.72785
Ifitm1	0.232977	0.7279
Osbpl8	-0.0637102	0.7279
Vwa8	0.0694018	0.72795
AI837181	0.0651563	0.728
Tradd	-0.0759053	0.72805
Arfip2	-0.0630835	0.72815
Rabl2	0.0943669	0.72815
Gnpnat1	0.0802967	0.7282
Cep170b	-0.0619321	0.72825
Dock6	-0.072521	0.72825
Gcdh	-0.0861149	0.7283
Degs2	0.246355	0.72835
Exosc4	-0.0734095	0.7284
H2-Ke6	-0.0923966	0.72845
Jagn1	-0.0659065	0.72845
Ndufaf7	0.0786139	0.72855
Acsl6	-0.131298	0.7287
Lsm1	-0.07733	0.7287
Med24	-0.0655486	0.7287
Ccdc71	0.0899715	0.72875
Ccdc124	0.0679357	0.7288
Eaf2	-0.385033	0.7289
Mcmdc2	0.183034	0.72895
Rpl38	0.0626591	0.72915
Mettl23	-0.108577	0.7292
Seh1l	0.0632792	0.7292
Dohh	0.0674572	0.72925
Zmym6	-0.078898	0.72925
1200014J11Rik	0.0688791	0.7293
Acp1	0.0638962	0.7293
Ppfia3	-0.167644	0.72945
Cnksr3	0.0660232	0.7295
Ap1g2	-0.128794	0.72955
Apobec1	-0.151713	0.72975
Gm17066	0.121321	0.72975
Snx14	-0.0653879	0.72985
Ypel1	0.34408	0.72985
Flad1	-0.0823238	0.72995
Tle4	-0.0844158	0.73
Jmjd4	-0.081531	0.73005
Nmu	0.125321	0.7301
1700094D03Rik	-0.149268	0.7302
Sgta	0.0624343	0.7302
Nln	0.0678481	0.73025
Arpc1b	0.0610069	0.7304
Glrx2	-0.0722317	0.7304
Zc3h4	0.0635316	0.7304
C2cd3	0.0792157	0.73045
Tmc6	-0.0720471	0.7305
Setd1b	0.0639818	0.73055
4930565N06Rik	-1.17597	0.73065
Zbtb39	0.0776097	0.73065
Nek3	-0.11666	0.7307
Pycr2	-0.0707087	0.73075
Tia1	-0.0602716	0.73075
Uimc1	-0.0691948	0.73085
Zmynd11	-0.0614331	0.73085
Epm2aip1	-0.060225	0.7309
Bai2	0.156217	0.7311
Hps6	-0.0823988	0.7312
Nipsnap3b	0.0741433	0.73125
Ptrhd1	0.16307	0.73125
Txndc15	-0.0639466	0.7313
Mysm1	0.074815	0.73135
Oraov1	-0.0734235	0.73135
Akt2	0.0613229	0.73145
Dvl3	0.0644362	0.7316
Btrc	-0.0707609	0.73165
Dnmbp	0.0685931	0.73165
Hsp90aa1	0.0655242	0.73175
Pla2g12a	-0.0848924	0.73175
Ralgapb	-0.0609137	0.732
Dnajb11	0.0613029	0.7321
Nsun2	0.060275	0.73215
Stk19	-0.0798773	0.7322
Eml2	-0.0644168	0.7323
Dhdds	0.0686819	0.7325
Gimap9	-0.117659	0.7325
Gltscr1l	-0.074341	0.7325
Pet112	-0.101413	0.73255
Mon1b	-0.0696319	0.7327
Tpd52l2	-0.0610934	0.73275
Mxi1	0.0707021	0.73285
Kif3b	-0.0604158	0.7329
Alpl	-0.145156	0.73295
1700020D05Rik	-0.58308	0.733
Akap10	-0.0689091	0.733
Gsk3a	-0.0660037	0.7331
Htra1	-0.0601083	0.7331
Slc30a6	0.0737945	0.7331
Exoc3l4	-0.0990427	0.73315
Zfp772	0.0998185	0.73315
Gtf2a2	-0.0674688	0.7332
Ldlr	-0.0588864	0.7332
Zbtb17	0.121201	0.73325
D930015M05Rik	-0.938562	0.7333
Fabp7	-0.199961	0.7333
Pdha1	-0.06078	0.7333
4930429B21Rik	-0.279608	0.7335
Alkbh1	0.191091	0.7335
Amt	-0.159439	0.7335
Cd47	-0.0755584	0.7335
Qsox1	0.0632797	0.7335
Uckl1	-0.114793	0.7335
4933426M11Rik	-0.0610827	0.7336
BC021785	-0.220005	0.7337
D2hgdh	-0.0893346	0.7337
Tmem53	-0.0998887	0.7337
A930013F10Rik	-0.406819	0.73375
Nop16	0.0656734	0.73375
Rasl11b	0.0589278	0.73375
Ccdc41	0.0697279	0.7338
Rab7	0.0600751	0.73385
Pgm5	-0.0601345	0.734
Fst	-0.0816238	0.73405
Moxd1	-0.183118	0.73405
Tmem19	-0.0653724	0.7341
Adam22	0.100304	0.73415
March6	-0.0601139	0.73415
Trps1	0.0608109	0.7342
Zfp777	0.0671915	0.7343
Caap1	0.0902557	0.7344
Zfp78	-0.142486	0.7344
Harbi1	-0.0951428	0.73465
Arid4a	-0.0658893	0.7347
Hoxc10	0.0907816	0.73475
Olfr1033	0.166351	0.7349
Mcph1	0.103283	0.73495
Cltc	-0.0606691	0.735
Zswim8	0.0600551	0.735
Rpusd1	-0.0896081	0.73515
Trmt5	0.079164	0.7352
Cyba	-0.0601254	0.73525
Ercc5	-0.0679764	0.73525
Rpl18	0.059738	0.7353
Dydc2	0.177002	0.73555
Sdf2l1	0.0857531	0.7357
Smad7	-0.0643083	0.7357
Cog5	-0.140333	0.73575
Atg16l2	-0.0776294	0.73585
Sc5d	-0.0686186	0.73585
Zzef1	-0.0604568	0.736
Mapk1	0.0660577	0.73605
Mon1a	-0.0898748	0.7362
Rad54b	0.142959	0.7363
A630007B06Rik	-0.0682159	0.73635
Calu	0.0649554	0.7364
Sestd1	-0.0605237	0.73645
Thoc3	0.0663874	0.73645
Oplah	0.0764792	0.7365
Acp6	-0.0755384	0.7366
Gtf2h4	0.0823816	0.7366
Pim3	0.0625577	0.7366
Repin1	0.0740207	0.7366
4930515G01Rik	0.211205	0.73705
Nt5dc3	-0.0649089	0.7371
Zdhhc17	-0.0680777	0.7371
Myo9b	-0.0599609	0.7372
Hist1h4h	0.177524	0.7373
Pnp2	-0.138713	0.7373
Cldn25	0.0605267	0.73735
Zfp810	0.0828706	0.73745
Spcs1	0.0822561	0.73755
Zdhhc4	-0.0694551	0.73775
Slc25a3	-0.0605465	0.7378
AI450353	0.34556	0.7381
Gm9897	0.17757	0.7382
Zfp654	-0.073572	0.73825
3830406C13Rik	-0.0783572	0.7384
Ptk2	-0.0580458	0.7384
Fam160a2	-0.0675203	0.7385
Dcun1d1	0.0639724	0.73855
Sos1	0.0627859	0.7386
Mbd5	0.072198	0.7387
Acyp1	-0.0890116	0.73875
Mtr	-0.0852471	0.73875
Rev3l	0.0578774	0.7388
Mbtd1	0.0688671	0.73885
Nav3	-0.0739168	0.73885
Nr1d1	-0.0694818	0.73905
Yap1	-0.0600606	0.7391
2810474O19Rik	0.0608387	0.73915
Defb25	-0.219932	0.73915
Ndufa13	-0.0601232	0.7392
Pnpla7	-0.0858537	0.73925
Hnrpll	0.0608464	0.7393
Phospho1	-0.197602	0.7393
Mrpl14	0.072198	0.73935
Lysmd1	0.0937822	0.7394
Naa40	0.0676503	0.7394
Tnfrsf25	0.215585	0.73955
Supt3	0.135819	0.7396
Dpf1	-0.133075	0.73965
Ankrd13c	0.0638491	0.7397
Grlf1	-0.059474	0.7397
Slc48a1	-0.0798301	0.73975
Relt	0.0940738	0.73985
E430025E21Rik	0.0589727	0.73995
Tbpl1	0.068705	0.73995
Smurf2	-0.0595525	0.74005
Lrp12	-0.0647293	0.74015
Gpcpd1	-0.0738694	0.7402
Fut11	0.0721605	0.74025
C430049B03Rik	0.13233	0.7404
Hdac8	0.093448	0.7404
Pstk	-0.0813966	0.7404
Camk2b	-0.169409	0.74045
Kti12	0.101242	0.7406
Fam198b	0.0593471	0.74075
Tmed5	-0.0601154	0.7408
Dnaaf3	-0.159468	0.74085
Cecr5	-0.090554	0.74105
Egfl7	0.116747	0.7411
Glyctk	-0.148139	0.7411
Ipo8	-0.0614033	0.7411
Mgmt	-0.0751388	0.7411
Ube2q2	-0.0608937	0.7411
Rnf121	0.07031	0.74125
Wdr20a	0.0739813	0.74125
Urgcp	-0.0655913	0.7413
Rfx2	-0.168235	0.74145
Otub2	-0.0810514	0.7415
Mier1	0.062206	0.74155
Ptpn4	0.0903432	0.74155
Tshz3	0.0669461	0.74155
Zfp583	0.118358	0.7416
Zfyve19	-0.0917103	0.7416
Ehbp1l1	-0.0612383	0.74165
Ssr4	0.0583727	0.74165
Tpk1	0.106341	0.7417
Fam149b	-0.0730474	0.74175
Pigw	-0.144951	0.74175
Sncaip	0.0747637	0.74185
Tmem86b	0.21927	0.74185
Zfp260	0.0580866	0.74185
Acbd3	0.0575968	0.7419
Dr1	0.0607525	0.7419
Snapc1	0.0818188	0.7419
Mpzl1	0.0624221	0.74195
Dnajb6	0.0602488	0.74215
Focad	-0.0685102	0.74215
Hook2	0.0782707	0.74225
Zfp27	0.0819115	0.74225
Tmbim1	-0.0632602	0.7423
Babam1	-0.0611766	0.74235
Pfn1	-0.0598412	0.74235
Slc2a6	-0.100461	0.74235
Slc25a42	-0.0820323	0.7424
Ctnnbl1	0.0656978	0.74255
Pdcl3	0.0581873	0.7426
1110008F13Rik	-0.0915215	0.74265
Gpd1l	-0.0657764	0.74265
Nfatc3	0.0598674	0.7427
Nop9	0.0673467	0.7427
Ap3m1	0.0586131	0.74275
Grina	-0.0574455	0.7428
Phka1	0.0761854	0.74285
Tmed3	-0.0592607	0.74285
Srebf1	-0.0877845	0.743
1600019K03Rik	0.268437	0.7431
Gnptab	-0.0621787	0.7431
Rnf19b	0.0615595	0.7432
Akap11	0.0585599	0.7433
Dhtkd1	-0.0964739	0.7433
Rpl10a	0.0609918	0.74335
Dld	0.0564698	0.7434
Wdr35	0.0694318	0.7434
Hpx	-0.14966	0.7436
A630089N07Rik	0.11091	0.74365
Sel1l	-0.0563898	0.7437
Esco1	-0.0709718	0.74375
Slain2	-0.0581546	0.7438
Dynlt1b	0.119963	0.7439
Wdr82	0.0584964	0.7439
Eif2b5	0.0621898	0.74395
Fntb	0.0704373	0.744
Gm16793	-0.779011	0.7442
Impact	0.055874	0.74425
Chchd4	0.0763193	0.74435
Tceanc	-0.130339	0.74435
Tprgl	0.0596002	0.74435
Filip1	-0.0909175	0.7444
Cers6	-0.0676163	0.74445
Greb1	-0.0577	0.7445
Ifrd1	0.0586701	0.74455
Pank1	0.104896	0.74455
Lrrfip2	-0.061112	0.7446
F730043M19Rik	-0.116282	0.74465
Ldha	0.0669433	0.7447
Pald1	0.0824575	0.74475
Rhog	0.0649157	0.7449
Epb4.1l1	-0.0583276	0.74495
Hsd17b7	-0.0609037	0.74495
Pltp	0.220304	0.74495
Nelfe	-0.0656576	0.7451
Ankrd42	-0.087974	0.74525
Bloc1s6	0.0578142	0.7453
Smu1	0.135922	0.74535
1110017D15Rik	0.243995	0.7454
Slc36a1	-0.0698385	0.7454
Tln1	-0.0592938	0.74545
Ints2	-0.0638144	0.74555
Kpna4	0.0566743	0.74565
Lrrc39	-0.251962	0.74565
Dennd6b	-0.0953951	0.7457
Khnyn	0.0638064	0.74585
Ank3	-0.0954209	0.7459
Armc1	0.0619974	0.74595
Pkn1	0.0661642	0.74595
Actr6	-0.0854161	0.746
Mob1a	-0.0587947	0.74605
Tmem140	-0.261625	0.7461
Zwint	-0.0580284	0.7461
Ddx54	0.0564115	0.7463
Tnk1	-0.114816	0.74635
Ift46	0.0600447	0.74645
Bfar	0.0593154	0.74655
Tfdp2	0.0650629	0.7466
Ncrna00085	-0.134254	0.7468
Rcn2	-0.0577786	0.74685
Lipt1	-0.101048	0.7469
4930519F09Rik	-0.21468	0.74695
Aebp2	0.0874713	0.74695
Atp2c1	-0.0613227	0.74695
Rap1gap2	-0.0640027	0.74695
Sphk1	-0.0615634	0.74695
Npff	-0.203931	0.747
AA465934	-0.57874	0.7471
Tmem167	0.056835	0.7471
Atg9a	0.0594483	0.74715
Lgals1	-0.0718416	0.74715
Rmnd5a	0.0570278	0.7472
Tnks	0.0572667	0.7472
Akip1	0.0858845	0.74725
1700123O20Rik	0.123275	0.7473
Trim36	0.153945	0.7474
Tmem43	-0.056175	0.74745
Chst2	-0.0762713	0.74755
Dgcr6	-0.0682126	0.74765
Cwf19l2	-0.065578	0.7477
Sept8	-0.0559126	0.7477
Slc35c1	0.0728508	0.7477
Mrpl53	0.0679087	0.7478
Ppm1d	0.0780646	0.7478
Ankrd13a	0.0573694	0.74785
Rabep2	0.0649798	0.74785
Lrrc71	0.149236	0.7479
Smurf1	-0.0584083	0.7479
1810043G02Rik	-0.0775285	0.748
Hist1h2be	0.174651	0.748
Trap1	-0.0561217	0.748
Lrp2bp	0.172349	0.7482
Cenpo	0.120144	0.74825
Zbtb45	-0.0843094	0.74825
Ift88	-0.0782803	0.7483
Ftsj1	0.0725217	0.74835
Mis12	-0.0636531	0.74845
Nckipsd	-0.0800747	0.74845
Rapgefl1	-0.147136	0.74845
Kctd15	-0.0591482	0.7485
Rbm5	0.0565966	0.7485
Htatsf1	0.0587449	0.7488
H3f3b	0.0581686	0.7489
Spag1	0.135527	0.7489
Fasn	-0.0551293	0.74895
N6amt2	0.076404	0.74895
Rsph3b	0.143289	0.74905
Bach2	0.105662	0.7491
Eif2b2	0.0612631	0.7491
Qsox2	-0.0681291	0.7491
Sfi1	-0.167	0.7491
Wrn	0.0732145	0.74915
C230091D08Rik	-0.0688633	0.7492
Rpl23a	0.0592012	0.74925
Zdhhc6	-0.059784	0.74925
Eif3b	0.0560069	0.7493
Prdm9	0.158646	0.74935
Tmem120b	-0.099291	0.74935
Ager	0.145004	0.7494
Rad23b	0.0545767	0.7494
Atp5g1	-0.0584629	0.74945
Gpank1	0.0918242	0.74955
Hspa2	-0.0673432	0.7496
Ttpal	0.0596514	0.7496
Smap2	0.0686574	0.74965
0610009D07Rik	0.0618176	0.7497
Hdx	-0.116795	0.7497
Pkd2l2	-0.241881	0.7497
Upf3b	0.0718745	0.7497
Kat5	0.0655472	0.7498
Cln8	-0.0675297	0.75015
Prkag2	-0.0625548	0.7502
Crlf1	-0.0736845	0.7503
Hibadh	-0.0583839	0.7504
Pdxdc1	0.0627374	0.75045
Ercc2	-0.0803699	0.7505
Cnnm4	-0.0783045	0.75055
Gcc1	-0.0649035	0.75055
Spock2	-0.127166	0.75055
Akap8	0.0591497	0.75065
Pcdhb13	-1.0739	0.75065
Aimp2	0.0829716	0.7507
Cisd3	-0.0843938	0.7507
Dnm1l	-0.0565724	0.75075
Plekhf2	0.0790202	0.75075
Rcn3	0.0561916	0.75075
Hsf2	0.0678488	0.7509
Herpud1	-0.0569173	0.75105
